Situação;Descrição;Código;"Família de Produto";"Código NCM";"Preço Unitário de Venda";"Estoque Físico";Reservado;"Estoque Disponível";Unidade;"Peso Líquido";"Peso Bruto";Altura;Largura;Profundidade;Marca;Modelo;"Dias de Garantia";"Dias de Crossdocking";"Cupom Fiscal (PDV)";Marketplace;"Tipo do Item (Bloco K)";"Origem da Mercadoria";"Preço Tabelado (Pauta)";"Produzido em Escala Relevante";"CNPJ Fabricante";Características;"Leadtime de Ressuprimento";Inclusão;"Última Alteração";"Incluído por";"Alterado por"
Ativo;"BIBLIA JERUSALEM  BOLSO CAPA CRISTAL BOLSO - EDIÇÃO NOVA";PRD00752;BIBLIAS;4901.99.00;75,000000;19,000000;4,000000;15,000000;"Unidade (UN)";1,000;1,065;21,000;14,000;4,000;PAULUS;;0;0;Sim;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;"Endereço: E-N2";15;"2026-06-26 09:54:26";"2026-07-08 15:12:40";Guilherme;Guilherme
Ativo;"BIBLIA JERUSALEM BOLSO COM ZIPER BOLSO - EDIÇÃO NOVA";PRD00751;BIBLIAS;4901.99.00;139,000000;19,000000;4,000000;15,000000;"Unidade (UN)";1,050;1,115;21,000;14,000;4,000;PAULUS;;0;0;Sim;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;"Endereço: E-N4";15;"2026-06-26 09:47:52";"2026-07-08 15:12:39";Guilherme;Guilherme
Ativo;"CAMISA I LOVE BRANCA BABYLOOK GG";PRD00750;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-26 11:15:30";"2026-06-30 15:06:02";Guilherme;MICAELY
Ativo;"CAMISA I LOVE BRANCA BABYLOOK G";PRD00749;CAMISAS;6106.90.00;59,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-26 11:15:29";"2026-06-30 15:05:47";Guilherme;MICAELY
Ativo;"CAMISA I LOVE BRANCA BABYLOOK M";PRD00748;CAMISAS;6106.90.00;59,900000;2,000000;,000000;2,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-26 11:15:29";"2026-06-30 15:05:25";Guilherme;MICAELY
Ativo;"CAMISA I LOVE BRANCA XGG";PRD00747;CAMISAS;6106.90.00;59,900000;1,000000;,000000;1,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-25 15:39:32";"2026-06-30 15:04:03";Guilherme;MICAELY
Ativo;"CAMISA I LOVE BRANCA XG";PRD00746;CAMISAS;6106.90.00;59,900000;2,000000;,000000;2,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-25 15:39:32";"2026-06-30 15:03:48";Guilherme;MICAELY
Ativo;"CAMISA I LOVE BRANCA GG";PRD00745;CAMISAS;6106.90.00;59,900000;1,000000;,000000;1,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-25 15:39:32";"2026-06-30 15:03:35";Guilherme;MICAELY
Ativo;"CAMISA I LOVE BRANCA G";PRD00744;CAMISAS;6106.90.00;59,900000;2,000000;,000000;2,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-25 15:39:31";"2026-06-30 15:03:18";Guilherme;MICAELY
Ativo;"CAMISA I LOVE BRANCA M";PRD00743;CAMISAS;6106.90.00;59,900000;2,000000;,000000;2,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-25 15:39:31";"2026-06-30 15:03:04";Guilherme;MICAELY
